Organ_system	Subcategory	ICD10Code	ICD10Description
neurolog	headache	G44.40	Drug-induced headache, not elsewhere classified, not intractable
neurolog	headache	G44.41	Drug-induced headache, not elsewhere classified, intractable
neurolog	headache	G44.51	Hemicrania continua
neurolog	headache	G44.52	New daily persistent headache (NDPH)
neurolog	headache	G44.53	Primary thunderclap headache
neurolog	headache	G44.59	Other complicated headache syndrome
neurolog	headache	G44.81	Hypnic headache
neurolog	headache	G44.82	Headache associated with sexual activity
neurolog	headache	G44.83	Primary cough headache
neurolog	headache	G44.84	Primary exertional headache
neurolog	headache	G44.85	Primary stabbing headache
neurolog	headache	G44.86	Cervicogenic headache
neurolog	headache	G44.89	Other headache syndrome
neurolog	headache	R51.	Headache
neurolog	headache	R51.0	Headache with orthostatic component, not elsewhere classified
neurolog	headache	R51.9	Headache, unspecified
neurolog	insomnia	F51.01	Primary insomnia
neurolog	insomnia	F51.02	Adjustment insomnia
neurolog	insomnia	F51.03	Paradoxical insomnia
neurolog	insomnia	F51.04	Psychophysiologic insomnia
neurolog	insomnia	F51.05	Insomnia due to other mental disorder
neurolog	insomnia	F51.09	Other insomnia not due to a substance or known physiological condition
neurolog	insomnia	G47.00	Insomnia, unspecified
neurolog	insomnia	G47.01	Insomnia due to medical condition
neurolog	insomnia	G47.09	Other insomnia
neurolog	insomnia	G47.10	Hypersomnia, unspecified
neurolog	insomnia	G47.11	Idiopathic hypersomnia with long sleep time
neurolog	insomnia	G47.12	Idiopathic hypersomnia without long sleep time
neurolog	insomnia	G47.13	Recurrent hypersomnia
neurolog	insomnia	G47.14	Hypersomnia due to medical condition
neurolog	insomnia	G47.19	Other hypersomnia
neurolog	insomnia	G47.20	Circadian rhythm sleep disorder, unspecified type
neurolog	insomnia	G47.21	Circadian rhythm sleep disorder, delayed sleep phase type
neurolog	insomnia	G47.22	Circadian rhythm sleep disorder, advanced sleep phase type
neurolog	insomnia	G47.23	Circadian rhythm sleep disorder, irregular sleep wake type
neurolog	insomnia	G47.24	Circadian rhythm sleep disorder, free running type
neurolog	insomnia	G47.25	Circadian rhythm sleep disorder, jet lag type
neurolog	insomnia	G47.26	Circadian rhythm sleep disorder, shift work type
neurolog	insomnia	G47.27	Circadian rhythm sleep disorder in conditions classified elsewhere
neurolog	insomnia	G47.29	Other circadian rhythm sleep disorder
neurolog	insomnia	G47.411	Narcolepsy with cataplexy
neurolog	insomnia	G47.419	Narcolepsy without cataplexy
neurolog	insomnia	G47.421	Narcolepsy in conditions classified elsewhere with cataplexy
neurolog	insomnia	G47.429	Narcolepsy in conditions classified elsewhere without cataplexy
neurolog	insomnia	G47.50	Parasomnia, unspecified
neurolog	insomnia	G47.51	Confusional arousals
neurolog	insomnia	G47.52	REM sleep behavior disorder
neurolog	insomnia	G47.53	Recurrent isolated sleep paralysis
neurolog	insomnia	G47.54	Parasomnia in conditions classified elsewhere
neurolog	insomnia	G47.59	Other parasomnia
neurolog	insomnia	G47.61	Periodic limb movement disorder
neurolog	insomnia	G47.62	Sleep related leg cramps
neurolog	insomnia	G47.63	Sleep related bruxism
neurolog	insomnia	G47.69	Other sleep related movement disorders
neurolog	insomnia	G47.8	Other sleep disorders
neurolog	insomnia	G47.9	Sleep disorder, unspecified
neurolog	other	F07.81	Postconcussional syndrome
neurolog	other	G10.	Huntington's disease
neurolog	other	G11.4	Hereditary spastic paraplegia
neurolog	other	G20.	Parkinson's disease
neurolog	other	G21.4	Vascular parkinsonism
neurolog	other	G23.1	Progressive supranuclear ophthalmoplegia [Steele-Richardson-Olszewski]
neurolog	other	G23.2	Striatonigral degeneration
neurolog	other	G31.2	Degeneration of nervous system due to alcohol
neurolog	other	G31.89	Other specified degenerative diseases of nervous system
neurolog	other	G32.0	Subacute combined degeneration of spinal cord in diseases classified elsewhere
neurolog	other	G32.89	Other specified degenerative disorders of nervous system in diseases classified elsewhere
neurolog	other	G35.	Multiple sclerosis
neurolog	other	G36.0	Neuromyelitis optica [Devic]
neurolog	other	G36.8	Other specified acute disseminated demyelination
neurolog	other	G36.9	Acute disseminated demyelination, unspecified
neurolog	other	G37.0	Diffuse sclerosis of central nervous system
neurolog	other	G37.1	Central demyelination of corpus callosum
neurolog	other	G37.2	Central pontine myelinolysis
neurolog	other	G37.4	Subacute necrotizing myelitis of central nervous system
neurolog	other	G37.5	Concentric sclerosis [Balo] of central nervous system
neurolog	other	G37.8	Other specified demyelinating diseases of central nervous system
neurolog	other	G37.9	Demyelinating disease of central nervous system, unspecified
neurolog	other	G40.001	Localization-related (focal) (partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset, not intractable, with status epilepticus
neurolog	other	G40.009	Localization-related (focal) (partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset, not intractable, without status epilepticus
neurolog	other	G40.011	Localization-related (focal) (partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset, intractable, with status epilepticus
neurolog	other	G40.019	Localization-related (focal) (partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset, intractable, without status epilepticus
neurolog	other	G40.101	Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures, not intractable, with status epilepticus
neurolog	other	G40.109	Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures, not intractable, without status epilepticus
neurolog	other	G40.111	Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures, intractable, with status epilepticus
neurolog	other	G40.119	Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures, intractable, without status epilepticus
neurolog	other	G40.201	Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, not intractable, with status epilepticus
neurolog	other	G40.209	Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, not intractable, without status epilepticus
neurolog	other	G40.211	Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, intractable, with status epilepticus
neurolog	other	G40.219	Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, intractable, without status epilepticus
neurolog	other	G40.301	Generalized idiopathic epilepsy and epileptic syndromes, not intractable, with status epilepticus
neurolog	other	G40.309	Generalized idiopathic epilepsy and epileptic syndromes, not intractable, without status epilepticus
neurolog	other	G40.311	Generalized idiopathic epilepsy and epileptic syndromes, intractable, with status epilepticus
neurolog	other	G40.319	Generalized idiopathic epilepsy and epileptic syndromes, intractable, without status epilepticus
neurolog	other	G40.401	Other generalized epilepsy and epileptic syndromes, not intractable, with status epilepticus
neurolog	other	G40.409	Other generalized epilepsy and epileptic syndromes, not intractable, without status epilepticus
neurolog	other	G40.411	Other generalized epilepsy and epileptic syndromes, intractable, with status epilepticus
neurolog	other	G40.419	Other generalized epilepsy and epileptic syndromes, intractable, without status epilepticus
neurolog	other	G40.501	Epileptic seizures related to external causes, not intractable, with status epilepticus
neurolog	other	G40.509	Epileptic seizures related to external causes, not intractable, without status epilepticus
neurolog	other	G40.801	Other epilepsy, not intractable, with status epilepticus
neurolog	other	G40.802	Other epilepsy, not intractable, without status epilepticus
neurolog	other	G40.803	Other epilepsy, intractable, with status epilepticus
neurolog	other	G40.804	Other epilepsy, intractable, without status epilepticus
neurolog	other	G40.821	Epileptic spasms, not intractable, with status epilepticus
neurolog	other	G40.822	Epileptic spasms, not intractable, without status epilepticus
neurolog	other	G40.823	Epileptic spasms, intractable, with status epilepticus
neurolog	other	G40.824	Epileptic spasms, intractable, without status epilepticus
neurolog	other	G40.89	Other seizures
neurolog	other	G40.901	Epilepsy, unspecified, not intractable, with status epilepticus
neurolog	other	G40.909	Epilepsy, unspecified, not intractable, without status epilepticus
neurolog	other	G40.911	Epilepsy, unspecified, intractable, with status epilepticus
neurolog	other	G40.919	Epilepsy, unspecified, intractable, without status epilepticus
neurolog	other	G40.A01	Absence epileptic syndrome, not intractable, with status epilepticus
neurolog	other	G40.A09	Absence epileptic syndrome, not intractable, without status epilepticus
neurolog	other	G40.A11	Absence epileptic syndrome, intractable, with status epilepticus
neurolog	other	G40.A19	Absence epileptic syndrome, intractable, without status epilepticus
neurolog	other	G40.B01	Juvenile myoclonic epilepsy, not intractable, with status epilepticus
neurolog	other	G40.B09	Juvenile myoclonic epilepsy, not intractable, without status epilepticus
neurolog	other	G40.B11	Juvenile myoclonic epilepsy, intractable, with status epilepticus
neurolog	other	G40.B19	Juvenile myoclonic epilepsy, intractable, without status epilepticus
neurolog	other	G56.40	Causalgia of unspecified upper limb
neurolog	other	G56.41	Causalgia of right upper limb
neurolog	other	G56.42	Causalgia of left upper limb
neurolog	other	G56.43	Causalgia of bilateral upper limbs
neurolog	other	G57.70	Causalgia of unspecified lower limb
neurolog	other	G57.71	Causalgia of right lower limb
neurolog	other	G57.72	Causalgia of left lower limb
neurolog	other	G57.73	Causalgia of bilateral lower limbs
neurolog	other	G61.0	Guillain-Barre syndrome
neurolog	other	G61.81	Chronic inflammatory demyelinating polyneuritis
neurolog	other	G65.0	Sequelae of Guillain-Barre syndrome
neurolog	other	G90.3	Multi-system degeneration of the autonomic nervous system
neurolog	other	G90.50	Complex regional pain syndrome I, unspecified
neurolog	other	G90.511	Complex regional pain syndrome I of right upper limb
neurolog	other	G90.512	Complex regional pain syndrome I of left upper limb
neurolog	other	G90.513	Complex regional pain syndrome I of upper limb, bilateral
neurolog	other	G90.519	Complex regional pain syndrome I of unspecified upper limb
neurolog	other	G90.521	Complex regional pain syndrome I of right lower limb
neurolog	other	G90.522	Complex regional pain syndrome I of left lower limb
neurolog	other	G90.523	Complex regional pain syndrome I of lower limb, bilateral
neurolog	other	G90.529	Complex regional pain syndrome I of unspecified lower limb
neurolog	other	G90.59	Complex regional pain syndrome I of other specified site
neurolog	other	H47.20	Unspecified optic atrophy
neurolog	other	H47.211	Primary optic atrophy, right eye
neurolog	other	H47.212	Primary optic atrophy, left eye
neurolog	other	H47.213	Primary optic atrophy, bilateral
neurolog	other	H47.219	Primary optic atrophy, unspecified eye
neurolog	other	H47.231	Glaucomatous optic atrophy, right eye
neurolog	other	H47.232	Glaucomatous optic atrophy, left eye
neurolog	other	H47.233	Glaucomatous optic atrophy, bilateral
neurolog	other	H47.239	Glaucomatous optic atrophy, unspecified eye
neurolog	other	H47.291	Other optic atrophy, right eye
neurolog	other	H47.292	Other optic atrophy, left eye
neurolog	other	H47.293	Other optic atrophy, bilateral
neurolog	other	H47.299	Other optic atrophy, unspecified eye
neurolog	other	H49.40	Progressive external ophthalmoplegia, unspecified eye
neurolog	other	H49.41	Progressive external ophthalmoplegia, right eye
neurolog	other	H49.42	Progressive external ophthalmoplegia, left eye
neurolog	other	H49.43	Progressive external ophthalmoplegia, bilateral
neurolog	other	M89.00	Algoneurodystrophy, unspecified site
neurolog	other	M89.011	Algoneurodystrophy, right shoulder
neurolog	other	M89.012	Algoneurodystrophy, left shoulder
neurolog	other	M89.019	Algoneurodystrophy, unspecified shoulder
neurolog	other	M89.022	Algoneurodystrophy, left upper arm
neurolog	other	M89.041	Algoneurodystrophy, right hand
neurolog	other	M89.042	Algoneurodystrophy, left hand
neurolog	other	M89.049	Algoneurodystrophy, unspecified hand
neurolog	other	M89.051	Algoneurodystrophy, right thigh
neurolog	other	M89.052	Algoneurodystrophy, left thigh
neurolog	other	M89.059	Algoneurodystrophy, unspecified thigh
neurolog	other	M89.061	Algoneurodystrophy, right lower leg
neurolog	other	M89.062	Algoneurodystrophy, left lower leg
neurolog	other	M89.071	Algoneurodystrophy, right ankle and foot
neurolog	other	M89.072	Algoneurodystrophy, left ankle and foot
neurolog	other	M89.08	Algoneurodystrophy, other site
neurolog	other	M89.09	Algoneurodystrophy, multiple sites
neurolog	other	R56.00	Simple febrile convulsions
neurolog	other	R56.01	Complex febrile convulsions
neurolog	other	R56.1	Post traumatic seizures
neurolog	other	R56.9	Unspecified convulsions
neurolog	sleep	F10.182	Alcohol abuse with alcohol-induced sleep disorder
neurolog	sleep	F10.282	Alcohol dependence with alcohol-induced sleep disorder
neurolog	sleep	F10.982	Alcohol use, unspecified with alcohol-induced sleep disorder
neurolog	sleep	F11.282	Opioid dependence with opioid-induced sleep disorder
neurolog	sleep	F14.282	Cocaine dependence with cocaine-induced sleep disorder
neurolog	sleep	F15.282	Other stimulant dependence with stimulant-induced sleep disorder
neurolog	sleep	F15.982	Other stimulant use, unspecified with stimulant-induced sleep disorder
neurolog	sleep	G47.31	Primary central sleep apnea
neurolog	sleep	G47.34	Idiopathic sleep related nonobstructive alveolar hypoventilation
neurolog	sleep	G47.36	Sleep related hypoventilation in conditions classified elsewhere
neurolog	sleep	G47.37	Central sleep apnea in conditions classified elsewhere
neurolog	smellta	R43.0	Anosmia
neurolog	smellta	R43.2	Parageusia
neurolog	smellta	R43.8	Other disturbances of smell and taste
neurolog	smellta	R43.9	Unspecified disturbances of smell and taste
other		S37.001A	Unspecified injury of right kidney, initial encounter
other		S37.001D	Unspecified injury of right kidney, subsequent encounter
other		S37.001S	Unspecified injury of right kidney, sequela
other		S37.002A	Unspecified injury of left kidney, initial encounter
other		S37.002D	Unspecified injury of left kidney, subsequent encounter
other		S37.002S	Unspecified injury of left kidney, sequela
other		S37.009A	Unspecified injury of unspecified kidney, initial encounter
other		S37.009D	Unspecified injury of unspecified kidney, subsequent encounter
other		S37.009S	Unspecified injury of unspecified kidney, sequela
pulmonary	asthma	J45.20	Mild intermittent asthma, uncomplicated
pulmonary	asthma	J45.21	Mild intermittent asthma with (acute) exacerbation
pulmonary	asthma	J45.22	Mild intermittent asthma with status asthmaticus
pulmonary	asthma	J45.30	Mild persistent asthma, uncomplicated
pulmonary	asthma	J45.31	Mild persistent asthma with (acute) exacerbation
pulmonary	asthma	J45.32	Mild persistent asthma with status asthmaticus
pulmonary	asthma	J45.40	Moderate persistent asthma, uncomplicated
pulmonary	asthma	J45.41	Moderate persistent asthma with (acute) exacerbation
pulmonary	asthma	J45.42	Moderate persistent asthma with status asthmaticus
pulmonary	asthma	J45.50	Severe persistent asthma, uncomplicated
pulmonary	asthma	J45.51	Severe persistent asthma with (acute) exacerbation
pulmonary	asthma	J45.52	Severe persistent asthma with status asthmaticus
pulmonary	asthma	J45.901	Unspecified asthma with (acute) exacerbation
pulmonary	asthma	J45.902	Unspecified asthma with status asthmaticus
pulmonary	asthma	J45.909	Unspecified asthma, uncomplicated
pulmonary	asthma	J45.990	Exercise induced bronchospasm
pulmonary	asthma	J45.991	Cough variant asthma
pulmonary	asthma	J45.998	Other asthma
pulmonary	asthma	J82.83	Eosinophilic asthma
pulmonary	copd	J43.0	Unilateral pulmonary emphysema [MacLeod's syndrome]
pulmonary	copd	J43.1	Panlobular emphysema
pulmonary	copd	J43.2	Centrilobular emphysema
pulmonary	copd	J43.8	Other emphysema
pulmonary	copd	J43.9	Emphysema, unspecified
pulmonary	copd	J44.0	Chronic obstructive pulmonary disease with acute lower respiratory infection
pulmonary	copd	J44.0	Chronic obstructive pulmonary disease with (acute) lower respiratory infection
pulmonary	copd	J44.1	Chronic obstructive pulmonary disease with (acute) exacerbation
pulmonary	copd	J44.9	Chronic obstructive pulmonary disease, unspecified
pulmonary	copd	J98.2	Interstitial emphysema
pulmonary	copd	J98.3	Compensatory emphysema
pulmonary	copd	P25.0	Interstitial emphysema originating in the perinatal period
pulmonary	copd	P25.8	Other conditions related to interstitial emphysema originating in the perinatal period
pulmonary	osa	E66.2	Morbid (severe) obesity with alveolar hypoventilation
pulmonary	osa	G47.30	Sleep apnea, unspecified
pulmonary	osa	G47.33	Obstructive sleep apnea (adult) (pediatric)
pulmonary	osa	G47.36	Sleep related hypoventilation in conditions classified elsewhere
pulmonary	osa	G47.39	Other sleep apnea
pulmonary	resp	A01.03	Typhoid pneumonia
pulmonary	resp	A02.22	Salmonella pneumonia
pulmonary	resp	A20.2	Pneumonic plague
pulmonary	resp	A21.2	Pulmonary tularemia
pulmonary	resp	A22.1	Pulmonary anthrax
pulmonary	resp	A31.0	Pulmonary mycobacterial infection
pulmonary	resp	A37.00	Whooping cough due to Bordetella pertussis without pneumonia
pulmonary	resp	A37.01	Whooping cough due to Bordetella pertussis with pneumonia
pulmonary	resp	A37.10	Whooping cough due to Bordetella parapertussis without pneumonia
pulmonary	resp	A37.11	Whooping cough due to Bordetella parapertussis with pneumonia
pulmonary	resp	A37.80	Whooping cough due to other Bordetella species without pneumonia
pulmonary	resp	A37.81	Whooping cough due to other Bordetella species with pneumonia
pulmonary	resp	A37.90	Whooping cough, unspecified species without pneumonia
pulmonary	resp	A37.91	Whooping cough, unspecified species with pneumonia
pulmonary	resp	A43.0	Pulmonary nocardiosis
pulmonary	resp	A48.1	Legionnaires' disease
pulmonary	resp	A50.04	Early congenital syphilitic pneumonia
pulmonary	resp	A52.72	Syphilis of lung and bronchus
pulmonary	resp	A54.84	Gonococcal pneumonia
pulmonary	resp	A56.4	Chlamydial infection of pharynx
pulmonary	resp	B01.2	Varicella pneumonia
pulmonary	resp	B05.2	Measles complicated by pneumonia
pulmonary	resp	B06.81	Rubella pneumonia
pulmonary	resp	B08.5	Enteroviral vesicular pharyngitis
pulmonary	resp	B25.0	Cytomegaloviral pneumonitis
pulmonary	resp	B30.2	Viral pharyngoconjunctivitis
pulmonary	resp	B37.1	Pulmonary candidiasis
pulmonary	resp	B38.0	Acute pulmonary coccidioidomycosis
pulmonary	resp	B38.1	Chronic pulmonary coccidioidomycosis
pulmonary	resp	B38.2	Pulmonary coccidioidomycosis, unspecified
pulmonary	resp	B39.0	Acute pulmonary histoplasmosis capsulati
pulmonary	resp	B39.1	Chronic pulmonary histoplasmosis capsulati
pulmonary	resp	B39.2	Pulmonary histoplasmosis capsulati, unspecified
pulmonary	resp	B40.0	Acute pulmonary blastomycosis
pulmonary	resp	B58.3	Pulmonary toxoplasmosis
pulmonary	resp	B59.	Pneumocystosis
pulmonary	resp	B77.81	Ascariasis pneumonia
pulmonary	resp	J00.	Acute nasopharyngitis [common cold]
pulmonary	resp	J01.00	Acute maxillary sinusitis, unspecified
pulmonary	resp	J01.01	Acute recurrent maxillary sinusitis
pulmonary	resp	J01.10	Acute frontal sinusitis, unspecified
pulmonary	resp	J01.11	Acute recurrent frontal sinusitis
pulmonary	resp	J01.20	Acute ethmoidal sinusitis, unspecified
pulmonary	resp	J01.21	Acute recurrent ethmoidal sinusitis
pulmonary	resp	J01.30	Acute sphenoidal sinusitis, unspecified
pulmonary	resp	J01.31	Acute recurrent sphenoidal sinusitis
pulmonary	resp	J01.40	Acute pansinusitis, unspecified
pulmonary	resp	J01.41	Acute recurrent pansinusitis
pulmonary	resp	J01.80	Other acute sinusitis
pulmonary	resp	J01.81	Other acute recurrent sinusitis
pulmonary	resp	J01.90	Acute sinusitis, unspecified
pulmonary	resp	J01.91	Acute recurrent sinusitis, unspecified
pulmonary	resp	J02.0	Streptococcal pharyngitis
pulmonary	resp	J02.8	Acute pharyngitis due to other specified organisms
pulmonary	resp	J02.9	Acute pharyngitis, unspecified
pulmonary	resp	J03.00	Acute streptococcal tonsillitis, unspecified
pulmonary	resp	J03.01	Acute recurrent streptococcal tonsillitis
pulmonary	resp	J03.80	Acute tonsillitis due to other specified organisms
pulmonary	resp	J03.81	Acute recurrent tonsillitis due to other specified organisms
pulmonary	resp	J03.90	Acute tonsillitis, unspecified
pulmonary	resp	J03.91	Acute recurrent tonsillitis, unspecified
pulmonary	resp	J04.0	Acute laryngitis
pulmonary	resp	J04.10	Acute tracheitis without obstruction
pulmonary	resp	J04.11	Acute tracheitis with obstruction
pulmonary	resp	J04.2	Acute laryngotracheitis
pulmonary	resp	J04.30	Supraglottitis, unspecified, without obstruction
pulmonary	resp	J05.0	Acute obstructive laryngitis [croup]
pulmonary	resp	J05.10	Acute epiglottitis without obstruction
pulmonary	resp	J05.11	Acute epiglottitis with obstruction
pulmonary	resp	J06.0	Acute laryngopharyngitis
pulmonary	resp	J06.9	Acute upper respiratory infection, unspecified
pulmonary	resp	J09.X1	Influenza due to identified novel influenza A virus with pneumonia
pulmonary	resp	J09.X2	Influenza due to identified novel influenza A virus with other respiratory manifestations
pulmonary	resp	J09.X3	Influenza due to identified novel influenza A virus with gastrointestinal manifestations
pulmonary	resp	J09.X9	Influenza due to identified novel influenza A virus with other manifestations
pulmonary	resp	J10.00	Influenza due to other identified influenza virus with unspecified type of pneumonia
pulmonary	resp	J10.01	Influenza due to other identified influenza virus with the same other identified influenza virus pneumonia
pulmonary	resp	J10.08	Influenza due to other identified influenza virus with other specified pneumonia
pulmonary	resp	J10.1	Influenza due to other identified influenza virus with other respiratory manifestations
pulmonary	resp	J10.2	Influenza due to other identified influenza virus with gastrointestinal manifestations
pulmonary	resp	J10.81	Influenza due to other identified influenza virus with encephalopathy
pulmonary	resp	J10.82	Influenza due to other identified influenza virus with myocarditis
pulmonary	resp	J10.83	Influenza due to other identified influenza virus with otitis media
pulmonary	resp	J10.89	Influenza due to other identified influenza virus with other manifestations
pulmonary	resp	J11.00	Influenza due to unidentified influenza virus with unspecified type of pneumonia
pulmonary	resp	J11.08	Influenza due to unidentified influenza virus with specified pneumonia
pulmonary	resp	J11.1	Influenza due to unidentified influenza virus with other respiratory manifestations
pulmonary	resp	J11.2	Influenza due to unidentified influenza virus with gastrointestinal manifestations
pulmonary	resp	J11.81	Influenza due to unidentified influenza virus with encephalopathy
pulmonary	resp	J11.82	Influenza due to unidentified influenza virus with myocarditis
pulmonary	resp	J11.83	Influenza due to unidentified influenza virus with otitis media
pulmonary	resp	J11.89	Influenza due to unidentified influenza virus with other manifestations
pulmonary	resp	J12.0	Adenoviral pneumonia
pulmonary	resp	J12.1	Respiratory syncytial virus pneumonia
pulmonary	resp	J12.2	Parainfluenza virus pneumonia
pulmonary	resp	J12.3	Human metapneumovirus pneumonia
pulmonary	resp	J12.81	Pneumonia due to SARS-associated coronavirus
pulmonary	resp	J12.82	Pneumonia due to coronavirus disease 2019
pulmonary	resp	J12.89	Other viral pneumonia
pulmonary	resp	J12.9	Viral pneumonia, unspecified
pulmonary	resp	J13.	Pneumonia due to Streptococcus pneumoniae
pulmonary	resp	J14.	Pneumonia due to Hemophilus influenzae
pulmonary	resp	J15.0	Pneumonia due to Klebsiella pneumoniae
pulmonary	resp	J15.1	Pneumonia due to Pseudomonas
pulmonary	resp	J15.20	Pneumonia due to staphylococcus, unspecified
pulmonary	resp	J15.211	Pneumonia due to Methicillin susceptible Staphylococcus aureus
pulmonary	resp	J15.212	Pneumonia due to Methicillin resistant Staphylococcus aureus
pulmonary	resp	J15.29	Pneumonia due to other staphylococcus
pulmonary	resp	J15.3	Pneumonia due to streptococcus, group B
pulmonary	resp	J15.4	Pneumonia due to other streptococci
pulmonary	resp	J15.5	Pneumonia due to Escherichia coli
pulmonary	resp	J15.6	PNEUMONIA DUE TO OTHER AEROBIC GRAM-NEGATIVE BACTERIA
pulmonary	resp	J15.6	Pneumonia due to other Gram-negative bacteria
pulmonary	resp	J15.7	Pneumonia due to Mycoplasma pneumoniae
pulmonary	resp	J15.8	Pneumonia due to other specified bacteria
pulmonary	resp	J15.9	Unspecified bacterial pneumonia
pulmonary	resp	J16.0	Chlamydial pneumonia
pulmonary	resp	J16.8	Pneumonia due to other specified infectious organisms
pulmonary	resp	J17.	Pneumonia in diseases classified elsewhere
pulmonary	resp	J18.0	Bronchopneumonia, unspecified organism
pulmonary	resp	J18.1	Lobar pneumonia, unspecified organism
pulmonary	resp	J18.2	Hypostatic pneumonia, unspecified organism
pulmonary	resp	J18.8	Other pneumonia, unspecified organism
pulmonary	resp	J18.9	Pneumonia, unspecified organism
pulmonary	resp	J20.0	Acute bronchitis due to Mycoplasma pneumoniae
pulmonary	resp	J20.1	Acute bronchitis due to Hemophilus influenzae
pulmonary	resp	J20.2	Acute bronchitis due to streptococcus
pulmonary	resp	J20.3	Acute bronchitis due to coxsackievirus
pulmonary	resp	J20.4	Acute bronchitis due to parainfluenza virus
pulmonary	resp	J20.5	Acute bronchitis due to respiratory syncytial virus
pulmonary	resp	J20.6	Acute bronchitis due to rhinovirus
pulmonary	resp	J20.7	Acute bronchitis due to echovirus
pulmonary	resp	J20.8	Acute bronchitis due to other specified organisms
pulmonary	resp	J20.9	Acute bronchitis, unspecified
pulmonary	resp	J21.0	Acute bronchiolitis due to respiratory syncytial virus
pulmonary	resp	J21.1	Acute bronchiolitis due to human metapneumovirus
pulmonary	resp	J22.	Unspecified acute lower respiratory infection
pulmonary	resp	J31.1	Chronic nasopharyngitis
pulmonary	resp	J31.2	Chronic pharyngitis
pulmonary	resp	J32.0	Chronic maxillary sinusitis
pulmonary	resp	J32.1	Chronic frontal sinusitis
pulmonary	resp	J32.2	Chronic ethmoidal sinusitis
pulmonary	resp	J32.3	Chronic sphenoidal sinusitis
pulmonary	resp	J32.4	Chronic pansinusitis
pulmonary	resp	J32.8	Other chronic sinusitis
pulmonary	resp	J32.9	Chronic sinusitis, unspecified
pulmonary	resp	J33.1	Polypoid sinus degeneration
pulmonary	resp	J35.01	Chronic tonsillitis
pulmonary	resp	J35.02	Chronic adenoiditis
pulmonary	resp	J35.03	Chronic tonsillitis and adenoiditis
pulmonary	resp	J37.0	Chronic laryngitis
pulmonary	resp	J37.1	Chronic laryngotracheitis
pulmonary	resp	J40.	Bronchitis, not specified as acute or chronic
pulmonary	resp	J41.0	Simple chronic bronchitis
pulmonary	resp	J41.1	Mucopurulent chronic bronchitis
pulmonary	resp	J41.8	Mixed simple and mucopurulent chronic bronchitis
pulmonary	resp	J42.	Unspecified chronic bronchitis
pulmonary	resp	J47.0	Bronchiectasis with acute lower respiratory infection
pulmonary	resp	J47.1	Bronchiectasis with (acute) exacerbation
pulmonary	resp	J47.9	Bronchiectasis, uncomplicated
pulmonary	resp	J68.0	Bronchitis and pneumonitis due to chemicals, gases, fumes and vapors
pulmonary	resp	J80.	Acute respiratory distress syndrome
pulmonary	resp	J82.	Pulmonary eosinophilia, not elsewhere classified
pulmonary	resp	J82.81	Chronic eosinophilic pneumonia
pulmonary	resp	J82.82	Acute eosinophilic pneumonia
pulmonary	resp	J82.83	Eosinophilic asthma
pulmonary	resp	J82.89	Other pulmonary eosinophilia, not elsewhere classified
pulmonary	resp	J84.111	Idiopathic interstitial pneumonia, not otherwise specified
pulmonary	resp	J84.116	Cryptogenic organizing pneumonia
pulmonary	resp	J84.117	Desquamative interstitial pneumonia
pulmonary	resp	J84.2	Lymphoid interstitial pneumonia
pulmonary	resp	J85.1	Abscess of lung with pneumonia
pulmonary	resp	J85.2	Abscess of lung without pneumonia
pulmonary	resp	J95.851	Ventilator associated pneumonia
pulmonary	resp	J96.00	Acute respiratory failure, unspecified whether with hypoxia or hypercapnia
pulmonary	resp	J96.01	Acute respiratory failure with hypoxia
pulmonary	resp	J96.02	Acute respiratory failure with hypercapnia
pulmonary	resp	J96.10	Chronic respiratory failure, unspecified whether with hypoxia or hypercapnia
pulmonary	resp	J96.11	Chronic respiratory failure with hypoxia
pulmonary	resp	J96.12	Chronic respiratory failure with hypercapnia
pulmonary	resp	J96.20	Acute and chronic respiratory failure, unspecified whether with hypoxia or hypercapnia
pulmonary	resp	J96.21	Acute and chronic respiratory failure with hypoxia
pulmonary	resp	J96.22	Acute and chronic respiratory failure with hypercapnia
pulmonary	resp	J96.90	Respiratory failure, unspecified, unspecified whether with hypoxia or hypercapnia
pulmonary	resp	J96.91	Respiratory failure, unspecified with hypoxia
pulmonary	resp	J96.92	Respiratory failure, unspecified with hypercapnia
pulmonary	resp	J98.8	Other specified respiratory disorders
pulmonary	resp	R05.	Cough
pulmonary	resp	R05.1	Acute cough
pulmonary	resp	R05.2	Subacute cough
pulmonary	resp	R05.3	Chronic cough
pulmonary	resp	R05.4	Cough syncope
pulmonary	resp	R05.8	Other specified cough
